"table_name","column_name","data_type","is_nullable","column_default"
"custom_permissions","id","uuid","NO","gen_random_uuid()"
"custom_permissions","role","USER-DEFINED","NO",""
"custom_permissions","resource","text","NO",""
"custom_permissions","permission_name","text","NO",""
"custom_permissions","permission_value","boolean","YES","false"
"custom_permissions","created_by","uuid","YES",""
"custom_permissions","created_at","timestamp with time zone","YES","now()"
"custom_permissions","updated_at","timestamp with time zone","YES","now()"
"customerMaster","id","bigint","NO",""
"customerMaster","custBusinessname","text","NO","''::text"
"customerMaster","custOwnername","text","NO","''::text"
"customerMaster","custPhone","bigint","NO",""
"customerMaster","custWhatsapp","bigint","NO",""
"customerMaster","custOwnerphone","bigint","NO",""
"customerMaster","custOwnerwhatsapp","bigint","NO",""
"customerMaster","custEmail","text","NO","''::text"
"customerMaster","custOwneremail","text","YES","''::text"
"customerMaster","custType","character varying","NO",""
"customerMaster","custAddress","text","YES","''::text"
"customerMaster","custProvince","text","YES","''::text"
"customerMaster","custCity","text","YES",""
"customerMaster","custPincode","bigint","YES",""
"customerMaster","custGST","text","NO",""
"customerMaster","custRemarks","text","YES",""
"customerMaster","custStatus","character varying","NO",""
"customerMaster","custCreditperiod","bigint","YES",""
"customer_ledger","id","integer","NO","nextval('customer_ledger_id_seq'::regclass)"
"customer_ledger","customer_id","integer","YES",""
"customer_ledger","fiscal_year","character varying","YES",""
"customer_ledger","transaction_type","character varying","YES",""
"customer_ledger","amount","numeric","YES",""
"customer_ledger","balance","numeric","YES",""
"customer_ledger_balance","custId","bigint","YES",""
"customer_ledger_balance","custBusinessname","text","YES",""
"customer_ledger_balance","custWhatsapp","bigint","YES",""
"customer_ledger_balance","balance","numeric","YES",""
"customer_ledger_balance","last_transaction_date","timestamp with time zone","YES",""
"dashboard_config","id","integer","NO","nextval('dashboard_config_id_seq'::regclass)"
"dashboard_config","user_id","text","NO",""
"dashboard_config","layout","jsonb","NO",""
"dashboard_config","widgets","jsonb","NO",""
"dashboard_layouts","id","uuid","NO","gen_random_uuid()"
"dashboard_layouts","layout","jsonb","NO",""
"dashboard_layouts","created_by","uuid","YES",""
"dashboard_layouts","is_active","boolean","YES","true"
"dashboard_layouts","created_at","timestamp with time zone","YES","now()"
